recruitment_id,job_id,department_id,candidate_name,candidate_email,candidate_phone,experience_years,current_ctc,expected_ctc,offered_ctc,notice_period_days,source,current_stage,recruiter_id,applied_at,screened_at,interview_scheduled_at,offer_released_at,offer_responded_at,expected_joining_date,actual_joining_date,created_at,updated_at
REC00001,JOB0001,DEPT001,Vijay Devi,candidate1@email.com,9318477605,12.4,1614419.95,2328765.61,2046778.46,30,LinkedIn,Offer Accepted,EMP00001,2025-12-18 12:45:53,2025-12-20 12:45:53,2026-01-02 12:45:53,2026-01-19 12:45:53,2026-02-03 12:45:53,2026-02-17,,2025-09-11 12:45:53,2026-01-28 12:45:53
REC00002,JOB0002,DEPT002,Lakshmi Krishnan,candidate2@email.com,9946733047,14.2,970632.13,1348815.07,1083801.97,15,Naukri,Background Check,EMP00002,2025-12-24 12:45:53,2025-12-26 12:45:53,2025-12-31 12:45:53,2026-01-21 12:45:53,,2026-03-24,,2025-09-15 12:45:53,2026-01-21 12:45:53
REC00003,JOB0003,DEPT003,Karthik Bose,candidate3@email.com,9217432204,1.9,1204302.35,1528812.25,1297155.79,60,Indeed,HR Interview,EMP00003,2025-11-09 12:45:53,2025-11-13 12:45:53,2025-11-22 12:45:53,,,2026-01-17,,2026-01-11 12:45:53,2026-01-28 12:45:53
REC00004,JOB0004,DEPT004,Divya Shah,candidate4@email.com,9174477716,8.4,547931.97,752830.01,583291.39,0,Employee Referral,Offer Accepted,EMP00004,2025-11-11 12:45:53,2025-11-12 12:45:53,2025-11-21 12:45:53,2025-12-17 12:45:53,2025-12-22 12:45:53,2026-01-12,,2025-11-21 12:45:53,2026-02-14 12:45:53
REC00005,JOB0005,DEPT005,Rajesh Joshi,candidate5@email.com,9333345562,6.0,2398547.43,2985181.65,3338972.83,60,Campus,Offer Declined,EMP00005,2025-12-18 12:45:53,2025-12-20 12:45:53,2025-12-31 12:45:53,2026-01-17 12:45:53,2026-02-06 12:45:53,2026-03-05,,2025-12-25 12:45:53,2026-02-15 12:45:53
REC00006,JOB0006,DEPT006,Sunita Mishra,candidate6@email.com,9230729149,7.1,2079826.28,2310065.02,2333482.58,0,Job Fair,Technical Round 1,EMP00006,2025-10-12 12:45:53,2025-10-13 12:45:53,2025-10-22 12:45:53,,,2025-12-21,,2025-09-08 12:45:53,2026-02-08 12:45:53
REC00007,JOB0007,DEPT007,Mohan Chatterjee,candidate7@email.com,9101305481,7.0,2020050.43,2745203.75,2784052.75,0,Company Website,Applied,EMP00007,2025-12-17 12:45:53,2025-12-22 12:45:53,,,,2026-02-23,,2025-12-11 12:45:53,2026-01-19 12:45:53
REC00008,JOB0008,DEPT008,Anitha Kumar,candidate8@email.com,9672106416,10.7,930871.75,1307713.4,1034705.66,15,Recruitment Agency,Shortlisted,EMP00008,2025-12-01 12:45:53,2025-12-02 12:45:53,,,,2026-02-24,,2025-12-28 12:45:53,2026-01-18 12:45:53
REC00009,JOB0009,DEPT009,Ganesh Sharma,candidate9@email.com,9456231316,10.7,1273391.82,1467536.98,1687907.97,30,Walk-In,Offer Accepted,EMP00009,2025-10-19 12:45:53,2025-10-24 12:45:53,2025-11-01 12:45:53,2025-11-25 12:45:53,2025-12-06 12:45:53,2026-01-08,,2025-12-10 12:45:53,2026-02-06 12:45:53
REC00010,JOB0010,DEPT010,Shalini Nair,candidate10@email.com,9107784125,4.0,349845.08,431530.68,414385.58,15,Social Media,Offer Released,EMP00010,2025-11-29 12:45:53,2025-12-03 12:45:53,2025-12-04 12:45:53,2026-01-05 12:45:53,,2026-02-18,,2025-08-21 12:45:53,2026-02-10 12:45:53
REC00011,JOB0011,DEPT011,Bala Patel,candidate11@email.com,9487629683,6.9,1480432.03,2164015.33,1882398.64,15,LinkedIn,Applied,EMP00011,2025-09-12 12:45:53,2025-09-17 12:45:53,,,,2025-11-14,,2025-12-12 12:45:53,2026-02-11 12:45:53
REC00012,JOB0012,DEPT012,Rekha Reddy,candidate12@email.com,9724047522,5.8,1846642.65,2628209.77,2277657.15,15,Naukri,Phone Screening,EMP00012,2025-12-02 12:45:53,2025-12-07 12:45:53,2025-12-07 12:45:53,,,2026-02-08,,2025-11-14 12:45:53,2026-01-29 12:45:53
REC00013,JOB0013,DEPT013,Senthil Iyer,candidate13@email.com,9773409354,11.1,1178817.82,1754726.98,1457092.58,15,Indeed,On Hold,EMP00013,2025-10-19 12:45:53,2025-10-21 12:45:53,2025-10-29 12:45:53,,,2025-12-28,,2025-08-21 12:45:53,2026-02-02 12:45:53
REC00014,JOB0014,DEPT014,Nithya Pillai,candidate14@email.com,9403209888,4.0,667168.55,908223.13,890392.46,15,Employee Referral,On Hold,EMP00014,2026-01-14 12:45:53,2026-01-17 12:45:53,2026-01-29 12:45:53,,,2026-03-19,,2025-10-19 12:45:53,2026-02-05 12:45:53
REC00015,JOB0015,DEPT015,Arun Menon,candidate15@email.com,9800562185,5.0,1041070.42,1232452.85,1120404.76,90,Campus,Offer Released,EMP00015,2025-09-02 12:45:53,2025-09-04 12:45:53,2025-09-16 12:45:53,2025-09-26 12:45:53,,2025-11-13,,2025-12-24 12:45:53,2026-01-23 12:45:53
REC00016,JOB0016,DEPT016,Priya Das,candidate16@email.com,9386554916,13.6,392386.32,465420.85,467021.98,15,Job Fair,Offer Released,EMP00016,2025-12-31 12:45:53,2026-01-02 12:45:53,2026-01-15 12:45:53,2026-01-31 12:45:53,,2026-03-03,,2025-11-14 12:45:53,2026-01-28 12:45:53
REC00017,JOB0017,DEPT017,Rahul Gupta,candidate17@email.com,9172598312,8.3,838460.24,940968.58,989685.57,15,Company Website,Offer Declined,EMP00017,2026-01-16 12:45:53,2026-01-19 12:45:53,2026-01-29 12:45:53,2026-02-23 12:45:53,2026-03-04 12:45:53,2026-04-06,,2025-08-21 12:45:53,2026-02-14 12:45:53
REC00018,JOB0018,DEPT018,Meera Singh,candidate18@email.com,9923940125,7.5,887900.91,982093.63,1052239.32,0,Recruitment Agency,On Hold,EMP00018,2025-11-03 12:45:53,2025-11-05 12:45:53,2025-11-14 12:45:53,,,2026-01-19,,2025-11-07 12:45:53,2026-02-05 12:45:53
REC00019,JOB0019,DEPT019,Suresh Verma,candidate19@email.com,9452932738,9.8,1674779.39,1956988.27,2012140.25,90,Walk-In,On Hold,EMP00019,2025-10-16 12:45:53,2025-10-18 12:45:53,2025-10-27 12:45:53,,,2025-12-29,,2025-08-26 12:45:53,2026-01-19 12:45:53
REC00020,JOB0020,DEPT020,Kavitha Rao,candidate20@email.com,9588334110,2.3,676118.43,844612.69,864931.75,30,Social Media,HR Interview,EMP00020,2025-11-30 12:45:53,2025-12-05 12:45:53,2025-12-09 12:45:53,,,2026-02-23,,2025-09-12 12:45:53,2026-02-03 12:45:53
