employee_id,first_name,last_name,department_id,hire_date
1,John,Doe,1,2023-05-01
2,Jane,Smith,2,2022-08-15
3,Mike,Brown,3,2024-02-20
4,Linda,Johnson,4,2023-11-10
5,James,Williams,5,2025-01-25
6,Sarah,Jones,6,2024-06-05
7,Robert,Miller,7,2023-03-30
8,Patricia,Davis,8,2024-12-12
9,Michael,Garcia,9,2022-09-17
10,Lisa,Martinez,10,2023-07-08
11,William,Hernandez,11,2024-04-22
12,Elizabeth,Lopez,12,2023-02-14
13,David,Gonzalez,13,2025-03-03
14,Mary,Wilson,14,2024-08-28
15,Richard,Anderson,15,2023-12-01
16,Karen,Thomas,16,2025-05-15
17,Charles,Taylor,17,2024-09-19
18,Nancy,Moore,18,2023-06-11
19,Joseph,Jackson,19,2024-10-23
20,Linda,White,20,2025-11-05
