CUST_ID,L_NAME,F_NAME,ADDR_LINE_1,CITY,STATE,ZIP_CODE,DOB_YYYYMMDD,CUST_SINCE_DT,RISK_SCORE
1000001,JOHNSON,ROBERT,124 MAPLE ST,HARTFORD,CT,06103,19550412,19820115,002
1000002,SMITH,LINDA,4400 OAK AVE,DES MOINES,IA,50309,19620822,19900601,001
1000003,WILLIAMS,JAMES,8921 PINE LN,COLUMBUS,OH,43215,19781130,20050310,005
1000004,BROWN,PATRICIA,33 ELM ST STE 4,TOPEKA,KS,66603,19490214,19750922,001
1000005,JONES,MICHAEL,777 BROADWAY,NEW YORK,NY,10007,19850505,20101115,003
1000006,GARCIA,MARIA,220 SUNSET BLVD,MIAMI,FL,33101,19900912,20180201,004
1000007,MILLER,DAVID,15 INDUSTRIAL PKWY,CHICAGO,IL,60601,19600101,19880704,002
1000008,DAVIS,JENNIFER,900 LAKEVIEW DR,SEATTLE,WA,98101,19820318,20081220,001
1000009,RODRIGUEZ,CARLOS,555 MAIN ST,AUSTIN,TX,78701,19750707,20000101,003
1000010,WILSON,BARBARA,1234 1ST AVE,DENVER,CO,80202,19581225,19850415,001
1000011,ANDERSON,THOMAS,999 WEST END,BOSTON,MA,02108,19950630,20200505,009
1000012,TAYLOR,ELIZABETH,456 EAST RD,ATLANTA,GA,30301,19690815,19951031,002
1000013,MOORE,CHRISTOPHER,789 NORTH WAY,PHOENIX,AZ,85001,19800228,20120615,004
1000014,JACKSON,NANCY,321 SOUTH ST,NASHVILLE,TN,37201,19521111,19790320,001
1000015,WHITE,DANIEL,654 CENTER PL,DETROIT,MI,48201,19880404,20150901,006
