]Employee ID,Name,Department,Department ID,Joining Date,Designation
1,John Smith,Engineering,D001,2020-01-15,Senior Engineer
2,Sarah Johnson,Marketing,D002,2019-05-20,Marketing Manager
3,Michael Brown,Engineering,D001,2021-03-10,Junior Engineer
4,Emily Davis,HR,D003,2018-11-05,HR Manager
5,David Wilson,Finance,D004,2020-07-22,Financial Analyst
6,Lisa Anderson,Engineering,D001,2022-01-08,Engineer
7,James Taylor,Marketing,D002,2019-09-14,Marketing Executive
8,Maria Garcia,HR,D003,2021-06-18,HR Executive
9,Robert Martinez,Finance,D004,2020-02-25,Accountant
10,Jennifer Lee,Engineering,D001,2022-05-30,Senior Engineer
11,Jeeva Kumar,IT Support,D005,2021-08-15,IT Specialist
12,Priya Sharma,Finance,D004,2020-11-20,Senior Accountant
13,Raj Patel,Engineering,D001,2019-12-01,Lead Engineer
14,Anita Singh,Marketing,D002,2021-04-10,Content Writer
15,Vijay Reddy,HR,D003,2022-02-14,Recruiter
