card_id,account_id,customer_id,card_type,card_network,card_number_masked,credit_limit,current_due,expiry_date,card_status,issued_date,created_at,updated_at
CARD00001,ACC00001,CUST0001,Debit,Visa,XXXX-XXXX-XXXX-4777,104295.15,9629.21,2027-12-14,Blocked,2024-01-18,2024-10-26 10:29:41,2025-06-11 10:29:41
CARD00002,ACC00002,CUST0002,Credit,MasterCard,XXXX-XXXX-XXXX-5530,376063.25,48830.35,2027-05-21,Expired,2024-07-23,2024-11-06 10:29:41,2025-09-15 10:29:41
CARD00003,ACC00003,CUST0003,Prepaid,RuPay,XXXX-XXXX-XXXX-4727,212396.48,15113.38,2027-02-16,Blocked,2023-08-02,2025-01-21 10:29:41,2026-01-17 10:29:41
CARD00004,ACC00004,CUST0004,Debit,Amex,XXXX-XXXX-XXXX-5786,363837.83,6313.97,2027-06-07,Active,2025-01-19,2024-04-26 10:29:41,2025-09-21 10:29:41
CARD00005,ACC00005,CUST0005,Credit,Visa,XXXX-XXXX-XXXX-8690,265421.39,17035.3,2028-01-18,Expired,2022-06-11,2024-12-17 10:29:41,2026-01-11 10:29:41
CARD00006,ACC00006,CUST0006,Prepaid,MasterCard,XXXX-XXXX-XXXX-7565,271285.95,28851.06,2027-02-27,Active,2024-04-09,2024-11-29 10:29:41,2025-05-01 10:29:41
CARD00007,ACC00007,CUST0007,Debit,RuPay,XXXX-XXXX-XXXX-5978,88331.41,12409.55,2027-05-04,Inactive,2021-09-21,2024-04-14 10:29:41,2025-04-03 10:29:41
CARD00008,ACC00008,CUST0008,Credit,Amex,XXXX-XXXX-XXXX-4697,399062.09,19018.9,2027-07-02,Expired,2021-10-27,2024-07-09 10:29:41,2025-09-10 10:29:41
CARD00009,ACC00009,CUST0009,Prepaid,Visa,XXXX-XXXX-XXXX-1986,324333.91,37004.47,2027-10-30,Blocked,2023-08-22,2024-03-12 10:29:41,2026-01-03 10:29:41
CARD00010,ACC00010,CUST0010,Debit,MasterCard,XXXX-XXXX-XXXX-3573,157939.33,27599.61,2027-11-25,Active,2022-10-31,2024-06-28 10:29:41,2025-02-26 10:29:41
CARD00011,ACC00011,CUST0011,Credit,RuPay,XXXX-XXXX-XXXX-8699,181066.68,11573.81,2027-02-17,Expired,2021-03-07,2024-06-26 10:29:41,2026-01-08 10:29:41
CARD00012,ACC00012,CUST0012,Prepaid,Amex,XXXX-XXXX-XXXX-4824,465759.97,39391.4,2027-03-30,Blocked,2022-09-27,2024-12-17 10:29:41,2025-05-11 10:29:41
CARD00013,ACC00013,CUST0013,Debit,Visa,XXXX-XXXX-XXXX-4683,341435.63,45420.57,2027-12-03,Active,2024-10-14,2024-11-21 10:29:41,2025-09-09 10:29:41
CARD00014,ACC00014,CUST0014,Credit,MasterCard,XXXX-XXXX-XXXX-5728,247619.05,23434.9,2027-09-11,Inactive,2023-08-06,2024-06-02 10:29:41,2025-05-13 10:29:41
CARD00015,ACC00015,CUST0015,Prepaid,RuPay,XXXX-XXXX-XXXX-9090,246991.49,29901.83,2027-07-07,Expired,2021-09-26,2024-10-08 10:29:41,2026-01-31 10:29:41
CARD00016,ACC00016,CUST0016,Debit,Amex,XXXX-XXXX-XXXX-2496,153015.99,33714.92,2027-04-25,Active,2021-05-09,2024-09-29 10:29:41,2025-04-24 10:29:41
CARD00017,ACC00017,CUST0017,Credit,Visa,XXXX-XXXX-XXXX-1659,393399.05,8759.54,2027-05-24,Inactive,2023-07-25,2024-11-13 10:29:41,2025-04-20 10:29:41
CARD00018,ACC00018,CUST0018,Prepaid,MasterCard,XXXX-XXXX-XXXX-8141,335653.12,24586.29,2027-12-29,Inactive,2023-03-04,2024-07-19 10:29:41,2025-08-27 10:29:41
CARD00019,ACC00019,CUST0019,Debit,RuPay,XXXX-XXXX-XXXX-6260,351560.08,42886.65,2027-08-29,Inactive,2021-03-26,2024-06-05 10:29:41,2025-09-19 10:29:41
CARD00020,ACC00020,CUST0020,Credit,Amex,XXXX-XXXX-XXXX-7561,416104.72,27504.83,2027-06-26,Active,2023-05-11,2024-10-07 10:29:41,2025-09-01 10:29:41
