kyc_id,customer_id,document_type,document_number,issued_by,issue_date,expiry_date,verification_status,verified_by,kyc_updated_at,created_at,updated_at
KYC00001,CUST0001,Aadhaar Card,DOC778712312814,RTO,2021-06-11,2029-04-10,Pending,EMP0001,2025-09-01 10:29:41,2025-01-12 10:29:41,2025-03-25 10:29:41
KYC00002,CUST0002,PAN Card,DOC610344572728,Passport Office,2017-11-03,2031-07-15,Verified,EMP0002,2026-01-09 10:29:41,2025-01-21 10:29:41,2026-01-25 10:29:41
KYC00003,CUST0003,Passport,DOC226669858209,UIDAI,2022-06-28,2030-02-01,Pending,EMP0003,2025-11-06 10:29:41,2024-06-26 10:29:41,2025-08-08 10:29:41
KYC00004,CUST0004,Voter ID,DOC867695941207,RTO,2020-06-03,2029-07-12,Pending,EMP0004,2025-10-30 10:29:41,2024-03-15 10:29:41,2025-12-25 10:29:41
KYC00005,CUST0005,Driving License,DOC640451596522,RTO,2020-07-18,2032-12-23,Verified,EMP0005,2025-08-21 10:29:41,2024-08-08 10:29:41,2025-10-25 10:29:41
KYC00006,CUST0006,Utility Bill,DOC587235620303,Income Tax Dept,2021-01-20,2035-01-01,Rejected,EMP0006,2025-09-27 10:29:41,2024-03-20 10:29:41,2025-08-14 10:29:41
KYC00007,CUST0007,Bank Statement,DOC534051757557,Passport Office,2022-12-29,2034-09-29,Expired,EMP0007,2026-01-21 10:29:41,2024-03-11 10:29:41,2025-10-28 10:29:41
KYC00008,CUST0008,Salary Slip,DOC802835768946,RTO,2024-11-18,2035-07-19,Rejected,EMP0008,2025-12-13 10:29:41,2024-12-11 10:29:41,2025-04-30 10:29:41
KYC00009,CUST0009,Form 16,DOC173895795270,RTO,2022-10-19,2029-07-16,Pending,EMP0009,2025-12-16 10:29:41,2024-08-29 10:29:41,2025-11-30 10:29:41
KYC00010,CUST0010,Rent Agreement,DOC102559721644,Passport Office,2023-07-02,2034-08-28,Rejected,EMP0010,2025-12-31 10:29:41,2024-12-19 10:29:41,2025-03-12 10:29:41
KYC00011,CUST0011,Aadhaar Card,DOC129491169126,Income Tax Dept,2024-12-15,2032-02-05,Pending,EMP0011,2025-09-16 10:29:41,2024-09-01 10:29:41,2026-02-05 10:29:41
KYC00012,CUST0012,PAN Card,DOC388511190574,UIDAI,2023-09-13,2027-10-18,Expired,EMP0012,2025-10-02 10:29:41,2024-12-17 10:29:41,2026-01-12 10:29:41
KYC00013,CUST0013,Passport,DOC591671732584,Passport Office,2019-05-14,2029-06-16,Verified,EMP0013,2025-10-21 10:29:41,2024-06-01 10:29:41,2025-10-23 10:29:41
KYC00014,CUST0014,Voter ID,DOC778370394729,UIDAI,2016-12-19,2027-05-01,Rejected,EMP0014,2025-10-19 10:29:41,2024-03-21 10:29:41,2026-01-29 10:29:41
KYC00015,CUST0015,Driving License,DOC569876368241,UIDAI,2019-08-16,2028-02-16,Expired,EMP0015,2026-01-26 10:29:41,2025-01-03 10:29:41,2025-09-02 10:29:41
KYC00016,CUST0016,Utility Bill,DOC261526407509,UIDAI,2023-09-16,2033-01-11,Rejected,EMP0016,2025-11-08 10:29:41,2024-04-14 10:29:41,2025-05-18 10:29:41
KYC00017,CUST0017,Bank Statement,DOC599482782524,RTO,2018-05-02,2031-04-16,Verified,EMP0017,2025-08-18 10:29:41,2024-12-17 10:29:41,2025-03-15 10:29:41
KYC00018,CUST0018,Salary Slip,DOC708893058523,Income Tax Dept,2020-04-19,2031-01-19,Pending,EMP0018,2025-10-31 10:29:41,2024-08-24 10:29:41,2025-06-26 10:29:41
KYC00019,CUST0019,Form 16,DOC556979066473,UIDAI,2021-08-13,2031-04-30,Rejected,EMP0019,2025-08-27 10:29:41,2024-10-06 10:29:41,2025-08-06 10:29:41
KYC00020,CUST0020,Rent Agreement,DOC271599373228,Election Commission,2024-05-15,2035-02-03,Verified,EMP0020,2026-01-21 10:29:41,2024-07-07 10:29:41,2025-12-26 10:29:41
