fd_id,customer_id,account_id,branch_id,fd_number,fd_type,principal_inr,interest_rate_pct,tenure_days,maturity_amount_inr,interest_earned_inr,payout_frequency,auto_renewal,tds_applicable,fd_status,opened_at,maturity_date,renewed_at,prematurely_closed_at,created_at,updated_at
FD000001,CUST00001,ACC000001,BR0001,FD27405822368,Regular FD,1856564.93,7.66,1825,2567629.3,711064.37,Monthly,Yes,Yes,Auto-Renewed,2022-11-12 13:00:36,2027-11-11,2026-01-27 13:00:36,,2022-11-12 13:00:36,2024-02-08 13:00:36
FD000002,CUST00002,ACC000002,BR0002,FD46138643987,Tax Saver FD,3373103.87,6.32,1095,4012644.36,639540.49,Quarterly,Yes,Yes,Renewed,2023-09-02 13:00:36,2026-09-01,2025-11-21 13:00:36,,2023-09-02 13:00:36,2024-04-16 13:00:36
FD000003,CUST00003,ACC000003,BR0003,FD51520018198,Senior Citizen FD,1732412.55,5.83,1095,2035411.5,302998.95,Half-Yearly,Yes,Yes,Auto-Renewed,2022-03-30 13:00:36,2025-03-29,2025-12-06 13:00:36,,2022-03-30 13:00:36,2022-12-25 13:00:36
FD000004,CUST00004,ACC000004,BR0004,FD49752153596,NRE FD,1982364.35,7.3,90,2018046.91,35682.56,Annually,No,Yes,Pre-Closed,2024-11-25 13:00:36,2025-02-23,,2026-01-29 13:00:36,2024-11-25 13:00:36,2025-12-23 13:00:36
FD000005,CUST00005,ACC000005,BR0005,FD79707794726,NRO FD,48572.23,7.74,180,50426.23,1854.0,On Maturity,No,Yes,Renewed,2025-04-28 13:00:36,2025-10-25,2025-11-30 13:00:36,,2025-04-28 13:00:36,2026-04-24 13:00:36
FD000006,CUST00006,ACC000006,BR0006,FD88653996486,Flexi FD,1991385.16,7.73,365,2145319.23,153934.07,Monthly,No,No,Renewed,2025-12-10 13:00:36,2026-12-10,2026-01-28 13:00:36,,2025-12-10 13:00:36,2027-02-25 13:00:36
FD000007,CUST00007,ACC000007,BR0007,FD32869705212,Recurring Deposit,3550399.82,6.75,90,3609492.09,59092.27,Quarterly,No,No,Active,2023-10-11 13:00:36,2024-01-09,,,2023-10-11 13:00:36,2025-02-17 13:00:36
FD000008,CUST00008,ACC000008,BR0008,FD61877394239,Corporate FD,449768.11,8.03,180,467578.93,17810.82,Half-Yearly,No,No,Auto-Renewed,2023-08-09 13:00:36,2024-02-05,2025-12-17 13:00:36,,2023-08-09 13:00:36,2024-05-04 13:00:36
FD000009,CUST00009,ACC000009,BR0009,FD37960031207,Auto Sweep,1115644.57,7.84,90,1137211.66,21567.09,Annually,No,No,Active,2023-03-09 13:00:36,2023-06-07,,,2023-03-09 13:00:36,2023-12-06 13:00:36
FD000010,CUST00010,ACC000010,BR0010,FD44988711506,Cumulative FD,3639621.74,7.96,1825,5088191.19,1448569.45,On Maturity,Yes,Yes,Matured,2025-03-21 13:00:36,2030-03-20,,,2025-03-21 13:00:36,2025-05-13 13:00:36
