employee_id,employee_name,department_id,hire_date,salary,created_at
101,Ashok,1,2025-01-10,35000,2026-01-05 10:00:00
102,Bala,2,2025-02-12,42000,2026-01-05 10:05:00
103,Chitra,3,2025-03-15,50000,2026-01-05 10:10:00
104,Deepak,4,2025-04-18,30000,2026-01-05 10:15:00
105,Ezhil,5,2025-05-20,32000,2026-01-05 10:20:00
106,Fathima,1,2025-06-22,36000,2026-01-05 10:25:00
107,Ganesh,2,2025-07-25,43000,2026-01-05 10:30:00
108,Hari,3,2025-08-28,51000,2026-01-05 10:35:00
109,Ishaan,4,2025-09-30,31000,2026-01-05 10:40:00
110,Janani,5,2025-10-02,33000,2026-01-05 10:45:00
111,Karthik,1,2025-10-05,37000,2026-01-05 10:50:00
112,Latha,2,2025-10-10,44000,2026-01-05 10:55:00
113,Manoj,3,2025-10-15,52000,2026-01-05 11:00:00
114,Nandhini,4,2025-10-20,31500,2026-01-05 11:05:00
115,Omprakash,5,2025-10-25,34000,2026-01-05 11:10:00
116,Preethi,1,2025-11-01,38000,2026-01-05 11:15:00
117,Quincy,2,2025-11-05,45000,2026-01-05 11:20:00
118,Raj,3,2025-11-10,53000,2026-01-05 11:25:00
119,Sneha,4,2025-11-15,32000,2026-01-05 11:30:00
120,Tamilselvi,5,2025-11-20,35000,2026-01-05 11:35:00
