customer_id,name,email,phone,account_balance,join_date,status
1,John Smith,john.smith@email.com,555-0101,45000.50,2020-01-15,active
2,Sarah Johnson,sarah.j@email.com,555-0102,32500.75,2020-03-22,active
3,Michael Brown,m.brown@email.com,555-0103,67500.00,2019-11-10,active
4,Emily Davis,emily.d@email.com,555-0104,12750.25,2021-02-05,active
5,Robert Wilson,r.wilson@email.com,555-0105,89000.00,2019-06-18,premium
6,Jennifer Martinez,j.martinez@email.com,555-0106,23400.50,2020-09-12,active
7,David Anderson,d.anderson@email.com,555-0107,56700.75,2020-05-30,active
8,Lisa Taylor,lisa.t@email.com,555-0108,41200.00,2021-01-20,active
9,James Thomas,j.thomas@email.com,555-0109,78900.25,2019-08-25,premium
10,Mary Jackson,mary.j@email.com,555-0110,34500.50,2020-11-08,active
