account_id,customer_id,branch_id,account_type,account_number,balance,currency,interest_rate,status,opened_date,created_at,updated_at
ACC00001,CUST0001,BR001,Savings,1252860896,4588.23,INR,3.84,Active,2023-04-09,2025-06-06 10:29:41,2025-10-05 10:29:41
ACC00002,CUST0002,BR002,Current,8168204967,119764.31,INR,4.57,Inactive,2021-01-24,2024-04-20 10:29:41,2025-12-13 10:29:41
ACC00003,CUST0003,BR003,Fixed Deposit,8763140509,392525.09,INR,4.45,Active,2021-06-05,2024-06-02 10:29:41,2025-11-15 10:29:41
ACC00004,CUST0004,BR004,Recurring Deposit,4131356954,212365.73,INR,6.87,Active,2024-10-12,2024-07-01 10:29:41,2025-11-19 10:29:41
ACC00005,CUST0005,BR005,Salary,1469306919,400495.66,INR,4.46,Closed,2024-05-02,2024-06-11 10:29:41,2025-12-29 10:29:41
ACC00006,CUST0006,BR006,Savings,4965395580,139994.03,INR,5.72,Active,2024-11-02,2025-08-02 10:29:41,2026-01-21 10:29:41
ACC00007,CUST0007,BR007,Current,4645120421,463257.12,INR,4.33,Closed,2022-06-04,2025-01-11 10:29:41,2025-11-03 10:29:41
ACC00008,CUST0008,BR008,Fixed Deposit,6002078344,451318.99,INR,3.51,Closed,2023-08-20,2024-05-09 10:29:41,2025-12-02 10:29:41
ACC00009,CUST0009,BR009,Recurring Deposit,8380507338,212080.74,INR,4.27,Frozen,2023-11-26,2025-06-19 10:29:41,2025-09-18 10:29:41
ACC00010,CUST0010,BR010,Salary,9851745355,368132.85,INR,5.07,Active,2021-11-05,2024-04-16 10:29:41,2025-10-08 10:29:41
ACC00011,CUST0011,BR011,Savings,3281169403,459774.18,INR,3.78,Active,2024-01-30,2025-06-08 10:29:41,2025-09-14 10:29:41
ACC00012,CUST0012,BR012,Current,4701485292,34912.47,INR,5.52,Inactive,2021-11-16,2025-07-08 10:29:41,2025-09-08 10:29:41
ACC00013,CUST0013,BR013,Fixed Deposit,2119980130,41909.72,INR,6.85,Frozen,2023-10-14,2024-11-19 10:29:41,2025-11-04 10:29:41
ACC00014,CUST0014,BR014,Recurring Deposit,8067372072,66308.26,INR,5.79,Active,2025-01-25,2024-05-05 10:29:41,2025-09-07 10:29:41
ACC00015,CUST0015,BR015,Salary,5278201677,499228.77,INR,3.87,Inactive,2022-04-14,2024-11-19 10:29:41,2026-01-11 10:29:41
ACC00016,CUST0016,BR016,Savings,4783282817,466696.43,INR,7.9,Frozen,2023-07-11,2025-03-09 10:29:41,2025-10-24 10:29:41
ACC00017,CUST0017,BR017,Current,8316648259,417038.73,INR,6.56,Active,2021-05-18,2024-10-15 10:29:41,2025-08-28 10:29:41
ACC00018,CUST0018,BR018,Fixed Deposit,4771526597,52689.66,INR,4.82,Active,2020-12-16,2025-03-11 10:29:41,2025-12-06 10:29:41
ACC00019,CUST0019,BR019,Recurring Deposit,2472659626,141596.38,INR,6.94,Frozen,2022-04-15,2024-04-04 10:29:41,2025-12-11 10:29:41
ACC00020,CUST0020,BR020,Salary,4633987776,452762.91,INR,3.96,Closed,2023-07-28,2025-07-03 10:29:41,2026-02-13 10:29:41
