account_id,client_id,account_type,account_number,currency,balance,available_margin,account_status,interest_rate,opened_date,last_transaction_at,created_at,updated_at
ACC000001,CLI00001,Trading,6822826586,INR,5824834.22,3757431.92,Frozen,11.1,2023-06-19,2026-02-01 11:54:43,2022-07-09 11:54:43,2025-12-21 11:54:43
ACC000002,CLI00002,Demat,2121521854,USD,6117613.91,5405717.07,Closed,11.55,2023-03-03,2026-01-28 11:54:43,2023-02-25 11:54:43,2025-11-18 11:54:43
ACC000003,CLI00003,Savings,3475544832,EUR,5676133.15,3372433.94,Closed,9.08,2022-04-11,2026-01-17 11:54:43,2025-01-04 11:54:43,2025-12-31 11:54:43
ACC000004,CLI00004,Current,5823922813,GBP,3565863.78,2672027.85,Dormant,4.91,2022-11-12,2026-01-26 11:54:43,2023-12-24 11:54:43,2026-01-01 11:54:43
ACC000005,CLI00005,Fixed Deposit,4389202852,SGD,3575940.18,1739676.01,Frozen,9.43,2022-12-22,2026-01-26 11:54:43,2025-01-23 11:54:43,2025-12-10 11:54:43
ACC000006,CLI00006,NPS,1994935965,AED,6332355.36,4811703.37,Suspended,3.8,2022-12-02,2026-02-10 11:54:43,2022-03-15 11:54:43,2025-12-21 11:54:43
ACC000007,CLI00007,Mutual Fund Folio,1390019821,JPY,9071818.0,3892257.86,Closed,7.64,2024-01-26,2026-02-01 11:54:43,2022-08-12 11:54:43,2026-02-04 11:54:43
ACC000008,CLI00008,PPF,7484352351,CHF,8711333.25,5742128.59,Suspended,10.98,2021-09-10,2026-02-12 11:54:43,2021-11-29 11:54:43,2025-11-21 11:54:43
ACC000009,CLI00009,ULIP,4089357187,CAD,7938170.08,3885745.06,Suspended,10.25,2024-01-27,2026-02-02 11:54:43,2023-12-03 11:54:43,2026-02-07 11:54:43
ACC000010,CLI00010,Brokerage,3298516274,AUD,7420998.33,4905125.2,Closed,8.93,2021-09-03,2026-01-23 11:54:43,2022-12-10 11:54:43,2026-01-13 11:54:43
ACC000011,CLI00011,Trading,7354415948,INR,1147488.32,879098.79,Frozen,8.52,2025-02-02,2026-02-02 11:54:43,2024-09-07 11:54:43,2026-01-29 11:54:43
ACC000012,CLI00012,Demat,6298224442,USD,6395329.32,5136390.75,Suspended,11.62,2021-06-13,2026-02-05 11:54:43,2023-10-12 11:54:43,2025-12-14 11:54:43
ACC000013,CLI00013,Savings,2351353524,EUR,3658010.17,3113597.28,Active,3.87,2022-07-04,2026-02-06 11:54:43,2021-04-16 11:54:43,2025-11-29 11:54:43
ACC000014,CLI00014,Current,5402876108,GBP,8260355.98,6865395.32,Dormant,9.7,2021-11-04,2026-01-31 11:54:43,2024-05-07 11:54:43,2025-11-28 11:54:43
ACC000015,CLI00015,Fixed Deposit,4353553023,SGD,4870900.12,2690842.93,Dormant,11.36,2024-12-21,2026-01-24 11:54:43,2023-10-04 11:54:43,2025-12-13 11:54:43
ACC000016,CLI00016,NPS,3133678338,AED,5947904.16,5200941.35,Frozen,11.57,2024-10-11,2026-02-08 11:54:43,2025-06-17 11:54:43,2026-02-09 11:54:43
ACC000017,CLI00017,Mutual Fund Folio,8751505112,JPY,503580.83,265564.11,Frozen,7.82,2024-01-22,2026-01-31 11:54:43,2022-07-28 11:54:43,2026-02-01 11:54:43
ACC000018,CLI00018,PPF,9183799614,CHF,6105900.77,2554593.71,Closed,7.42,2024-08-07,2026-02-10 11:54:43,2021-05-10 11:54:43,2026-01-24 11:54:43
ACC000019,CLI00019,ULIP,9226025234,CAD,9361595.06,7281017.1,Active,11.74,2023-07-25,2026-01-14 11:54:43,2022-09-14 11:54:43,2026-01-12 11:54:43
ACC000020,CLI00020,Brokerage,6540709619,AUD,158147.27,98209.08,Frozen,5.65,2023-09-21,2026-02-08 11:54:43,2021-12-26 11:54:43,2026-02-13 11:54:43
