employee_id,employee_name,department_id,hire_date
10105,Sophia Brown,10059,2024-03-23
10106,Meena Kumar,10102,2024-02-14
10107,Alice Johnson,10061,2024-03-01
10108,Sophia Brown,10073,2024-02-11
10109,Alice Johnson,10112,2024-02-25
10110,Alice Johnson,10094,2024-01-12
10111,Alice Johnson,10106,2024-03-01
10112,Alice Johnson,10080,2024-02-10
10113,Robert Smith,10127,2024-04-25
10114,Alice Johnson,10037,2024-05-10
10115,Robert Smith,10034,2024-05-01
10116,Alice Johnson,10046,2024-03-08
10117,David Lee,10119,2024-02-26
10118,Sophia Brown,10053,2024-01-27
10119,Robert Smith,10128,2024-03-12
10120,Robert Smith,10065,2024-02-13
10121,Alice Johnson,10074,2024-03-31
10122,Alice Johnson,10126,2024-01-22
10123,Sophia Brown,10075,2024-03-05
10124,Robert Smith,10050,2024-02-25
10125,Meena Kumar,10093,2024-02-04
10126,David Lee,10095,2024-03-18
10127,Meena Kumar,10103,2024-04-01
10128,David Lee,10075,2024-05-18
10129,Meena Kumar,10041,2024-05-05
10130,David Lee,10055,2024-01-19
10131,Alice Johnson,10052,2024-03-09
10132,David Lee,10093,2024-01-14
10133,Sophia Brown,10040,2024-04-05
10134,Robert Smith,10102,2024-04-25
10135,Alice Johnson,10045,2024-03-01
10136,Sophia Brown,10032,2024-04-12
10137,David Lee,10039,2024-04-11
10138,Sophia Brown,10081,2024-01-19
10139,Alice Johnson,10088,2024-02-18
10140,Sophia Brown,10087,2024-04-23
10141,Meena Kumar,10076,2024-02-19
10142,Alice Johnson,10036,2024-03-18
10143,Robert Smith,10110,2024-05-02
10144,Robert Smith,10116,2024-04-04
10145,Sophia Brown,10050,2024-02-23
10146,Meena Kumar,10039,2024-02-25
10147,David Lee,10129,2024-04-15
10148,Meena Kumar,10117,2024-04-16
10149,Alice Johnson,10094,2024-02-07
10150,Robert Smith,10121,2024-02-28
10151,Meena Kumar,10108,2024-03-03
10152,Meena Kumar,10077,2024-05-10
10153,Alice Johnson,10117,2024-01-17
10154,Meena Kumar,10081,2024-02-26
10155,Robert Smith,10030,2024-04-26
10156,Robert Smith,10052,2024-04-17
10157,David Lee,10051,2024-03-07
10158,Robert Smith,10052,2024-01-18
10159,Robert Smith,10110,2024-05-15
10160,Robert Smith,10093,2024-05-14
10161,David Lee,10125,2024-02-11
10162,Alice Johnson,10047,2024-05-12
10163,David Lee,10090,2024-02-01
10164,Sophia Brown,10129,2024-05-16
10165,Meena Kumar,10052,2024-04-08
10166,David Lee,10110,2024-04-12
10167,Meena Kumar,10049,2024-04-26
10168,David Lee,10080,2024-03-13
10169,Meena Kumar,10105,2024-01-17
10170,Meena Kumar,10058,2024-03-22
10171,Meena Kumar,10071,2024-02-01
10172,Sophia Brown,10068,2024-04-29
10173,Robert Smith,10106,2024-02-14
10174,Alice Johnson,10054,2024-04-25
10175,Meena Kumar,10049,2024-03-12
10176,David Lee,10069,2024-02-29
10177,Robert Smith,10120,2024-01-30
10178,Sophia Brown,10040,2024-01-14
10179,David Lee,10077,2024-04-11
10180,Sophia Brown,10065,2024-04-16
10181,David Lee,10121,2024-02-08
10182,Sophia Brown,10091,2024-02-28
10183,Sophia Brown,10109,2024-02-02
10184,Meena Kumar,10111,2024-03-25
10185,David Lee,10057,2024-04-25
10186,Alice Johnson,10079,2024-04-17
10187,Meena Kumar,10065,2024-02-23
10188,Robert Smith,10031,2024-01-17
10189,Meena Kumar,10121,2024-05-03
10190,David Lee,10081,2024-04-18
10191,Robert Smith,10070,2024-02-16
10192,Sophia Brown,10102,2024-05-14
10193,Meena Kumar,10042,2024-01-14
10194,Alice Johnson,10068,2024-01-30
10195,Robert Smith,10084,2024-03-06
10196,Meena Kumar,10069,2024-02-01
10197,Alice Johnson,10104,2024-04-20
10198,Meena Kumar,10056,2024-04-27
10199,Alice Johnson,10099,2024-01-10
10200,Robert Smith,10117,2024-02-12
10201,David Lee,10039,2024-03-17
10202,Meena Kumar,10075,2024-01-10
10203,Robert Smith,10068,2024-05-12
10204,Alice Johnson,10096,2024-02-14
