AccountID,CustomerID,AccountType,Currency,CurrentBalance,AvailableBalance,BranchID,AccountStatus,OpeningDate,InterestRate,OverdraftLimit,LastTransactionDate,SMSAlertEnabled,NomineeName
ACC00000001,CUST00001,Savings,USD,50106.61,64928.39,BR001,Active,2020-01-09,2.69,500,2024-11-12,False,Eitnimsejr
ACC00000002,CUST00002,Checking,USD,57009.65,2782.98,BR010,Inactive,2023-05-29,2.58,500,2024-10-16,True,Sgqnkizanw
ACC00000003,CUST00003,Checking,USD,2604.16,2795.72,BR008,Active,2021-06-16,4.48,5000,2024-08-25,False,Yivvzefvck
ACC00000004,CUST00004,Savings,USD,14955.07,56317.39,BR008,Active,2022-04-20,2.87,500,2024-01-16,False,Axannucnnq
ACC00000005,CUST00005,Business,USD,59453.77,98019.27,BR005,Inactive,2023-06-29,4.96,500,2024-09-20,True,Hgranphzvb
ACC00000006,CUST00006,Savings,USD,74341.16,14511.84,BR008,Frozen,2023-09-15,0.69,1000,2024-11-14,True,Gzepbzatat
ACC00000007,CUST00007,Business,USD,92697.58,7164.87,BR002,Frozen,2022-06-17,4.12,500,2024-09-22,True,Wtjesazifb
ACC00000008,CUST00008,Checking,USD,91105.55,931.6,BR001,Frozen,2021-08-12,2.43,1000,2024-04-24,False,Muzsgageac
ACC00000009,CUST00009,Checking,USD,30752.55,5196.05,BR004,Inactive,2022-03-11,2.54,0,2024-10-18,True,Qhdshoupxi
ACC00000010,CUST00010,Checking,USD,13648.39,69088.52,BR005,Inactive,2021-02-09,2.26,0,2024-11-05,True,Gmupaiflbj
ACC00000011,CUST00011,Business,USD,92329.89,74143.35,BR004,Frozen,2023-05-24,3.74,500,2024-03-27,False,Dmxtvlqnvd
ACC00000012,CUST00012,Savings,USD,77695.51,81937.91,BR008,Frozen,2021-06-24,3.2,5000,2024-10-10,False,Hrbsypmtli
ACC00000013,CUST00013,Business,USD,55406.37,62581.36,BR010,Active,2022-07-20,4.82,1000,2024-07-07,False,Baorcakjym
ACC00000014,CUST00014,Savings,USD,90323.61,21967.91,BR007,Inactive,2021-10-15,4.97,5000,2024-12-06,False,Cljzpbdgto
ACC00000015,CUST00015,Business,USD,52523.23,93231.87,BR010,Inactive,2022-01-20,1.03,1000,2024-02-24,False,Sxssdhwjhj
ACC00000016,CUST00016,Business,USD,23822.35,33009.87,BR002,Inactive,2020-06-23,0.63,1000,2024-08-16,True,Iksezxnavu
ACC00000017,CUST00017,Savings,USD,76687.61,28478.33,BR009,Inactive,2022-01-19,1.93,0,2024-04-05,False,Wsdkdccunw
ACC00000018,CUST00018,Checking,USD,71501.66,39343.09,BR005,Inactive,2021-11-11,1.38,500,2024-11-04,True,Jwgariyhou
ACC00000019,CUST00019,Business,USD,30969.86,15563.96,BR005,Inactive,2020-06-20,4.38,500,2024-01-25,True,Avugtrtepq
ACC00000020,CUST00020,Savings,USD,82852.72,11827.22,BR007,Active,2021-03-16,1.99,0,2024-02-28,False,Rhmrewqhzf
ACC00000021,CUST00021,Checking,USD,77327.13,37695.01,BR007,Frozen,2021-02-17,1.74,5000,2024-05-10,True,Vphgsllxvh
ACC00000022,CUST00022,Business,USD,12815.97,43834.02,BR005,Inactive,2021-08-17,3.25,5000,2024-03-10,False,Qrouzjjxyp
ACC00000023,CUST00023,Checking,USD,39645.47,55346.15,BR003,Active,2022-08-12,1.06,5000,2024-08-07,True,Bustkjfess
ACC00000024,CUST00024,Savings,USD,11487.71,73043.44,BR007,Active,2023-08-30,2.53,0,2024-11-08,False,Ilnvygfyxy
ACC00000025,CUST00025,Business,USD,99944.86,81789.66,BR003,Inactive,2023-12-14,3.72,5000,2024-10-19,False,Bjcazifcrh
ACC00000026,CUST00026,Checking,USD,73305.59,8762.28,BR001,Active,2021-10-08,1.19,5000,2024-11-27,True,Zzpgqidquz
ACC00000027,CUST00027,Checking,USD,50615.08,13693.25,BR004,Active,2022-12-30,3.87,5000,2024-03-13,True,Gwpptnrjwa
ACC00000028,CUST00028,Savings,USD,89356.55,25851.39,BR006,Inactive,2021-02-06,2.61,5000,2024-07-07,True,Vjxhipxevp
ACC00000029,CUST00029,Checking,USD,59567.55,726.82,BR008,Frozen,2023-02-18,4.92,500,2024-11-23,False,Mjsdnuvfzm
ACC00000030,CUST00030,Checking,USD,3087.55,96733.4,BR004,Inactive,2020-05-15,3.25,5000,2024-12-10,False,Hpnekkpzcm
ACC00000031,CUST00031,Savings,USD,28814.36,22367.85,BR004,Active,2022-05-07,3.34,500,2024-10-15,True,Tsblubznrc
ACC00000032,CUST00032,Business,USD,53600.91,31434.85,BR006,Active,2023-07-23,4.18,500,2024-04-21,False,Oyajwtwtgu
ACC00000033,CUST00033,Checking,USD,23998.87,31983.33,BR008,Frozen,2021-03-31,2.19,500,2024-08-06,False,Kbeuubffkx
ACC00000034,CUST00034,Checking,USD,44363.59,64764.34,BR005,Frozen,2021-02-05,1.98,1000,2024-04-22,True,Zgmsybsorr
ACC00000035,CUST00035,Business,USD,79066.28,11292.44,BR006,Active,2023-11-26,3.94,5000,2024-05-28,False,Qmcisxrjic
ACC00000036,CUST00036,Checking,USD,61602.5,64850.77,BR010,Frozen,2021-08-11,4.15,5000,2024-07-13,True,Otbzciqwzl
