employee_id,employee_name,department_id,hire_date
10105,Meena Kumar,10063,2024-02-06
10106,David Lee,10060,2024-05-03
10107,Meena Kumar,10128,2024-02-13
10108,Robert Smith,10084,2024-02-08
10109,Robert Smith,10095,2024-04-17
10110,Sophia Brown,10115,2024-05-03
10111,Robert Smith,10097,2024-01-24
10112,Alice Johnson,10108,2024-03-30
10113,Meena Kumar,10088,2024-01-23
10114,Meena Kumar,10119,2024-01-23
10115,Alice Johnson,10083,2024-05-06
10116,Alice Johnson,10038,2024-04-01
10117,Sophia Brown,10057,2024-05-18
10118,Alice Johnson,10055,2024-02-16
10119,Robert Smith,10078,2024-05-15
10120,David Lee,10111,2024-03-12
10121,Sophia Brown,10080,2024-03-31
10122,David Lee,10032,2024-02-25
10123,David Lee,10042,2024-03-20
10124,Alice Johnson,10074,2024-02-09
10125,Robert Smith,10082,2024-04-27
10126,Robert Smith,10050,2024-02-10
10127,David Lee,10045,2024-01-19
10128,Robert Smith,10075,2024-02-11
10129,Sophia Brown,10087,2024-02-24
10130,Sophia Brown,10115,2024-02-22
10131,Sophia Brown,10123,2024-01-11
10132,Robert Smith,10062,2024-02-20
10133,Sophia Brown,10061,2024-05-02
10134,Sophia Brown,10124,2024-01-30
10135,Sophia Brown,10045,2024-05-14
10136,Alice Johnson,10059,2024-05-19
10137,Meena Kumar,10127,2024-03-25
10138,Alice Johnson,10084,2024-04-05
10139,Sophia Brown,10054,2024-04-18
10140,Alice Johnson,10079,2024-01-12
10141,David Lee,10094,2024-03-07
10142,Alice Johnson,10101,2024-02-12
10143,David Lee,10049,2024-03-09
10144,Alice Johnson,10091,2024-03-28
10145,Robert Smith,10078,2024-02-14
10146,David Lee,10108,2024-01-21
10147,Meena Kumar,10069,2024-04-16
10148,Meena Kumar,10055,2024-04-23
10149,Meena Kumar,10097,2024-01-23
10150,Alice Johnson,10070,2024-01-11
10151,Robert Smith,10071,2024-05-14
10152,Alice Johnson,10093,2024-03-02
10153,David Lee,10048,2024-03-03
10154,Meena Kumar,10051,2024-03-22
10155,Sophia Brown,10042,2024-03-18
10156,David Lee,10050,2024-04-11
10157,Alice Johnson,10047,2024-02-29
10158,Robert Smith,10076,2024-01-31
10159,Robert Smith,10124,2024-05-05
10160,Sophia Brown,10085,2024-01-28
10161,Robert Smith,10124,2024-01-13
10162,Sophia Brown,10080,2024-05-08
10163,David Lee,10055,2024-05-17
10164,Alice Johnson,10075,2024-02-14
10165,Meena Kumar,10054,2024-02-14
10166,Sophia Brown,10036,2024-02-11
10167,Alice Johnson,10036,2024-02-24
10168,Sophia Brown,10086,2024-03-03
10169,Meena Kumar,10127,2024-04-25
10170,Meena Kumar,10129,2024-03-21
10171,David Lee,10081,2024-04-29
10172,Alice Johnson,10078,2024-03-10
10173,Alice Johnson,10086,2024-03-23
10174,Sophia Brown,10035,2024-03-30
10175,David Lee,10041,2024-05-08
10176,Sophia Brown,10083,2024-02-15
10177,Sophia Brown,10115,2024-02-18
10178,David Lee,10128,2024-02-26
10179,Meena Kumar,10102,2024-03-31
10180,Alice Johnson,10055,2024-04-16
10181,Alice Johnson,10116,2024-02-14
10182,Robert Smith,10066,2024-03-25
10183,Robert Smith,10077,2024-02-15
10184,David Lee,10086,2024-02-24
10185,Meena Kumar,10060,2024-02-03
10186,Alice Johnson,10080,2024-04-29
10187,Robert Smith,10087,2024-05-03
10188,Sophia Brown,10050,2024-01-20
10189,Sophia Brown,10034,2024-01-17
10190,Alice Johnson,10122,2024-02-08
10191,Sophia Brown,10086,2024-02-22
10192,Alice Johnson,10039,2024-02-19
10193,David Lee,10033,2024-03-31
10194,Alice Johnson,10106,2024-04-21
10195,Robert Smith,10051,2024-02-27
10196,Sophia Brown,10045,2024-02-16
10197,Alice Johnson,10089,2024-01-23
10198,Sophia Brown,10034,2024-04-29
10199,Sophia Brown,10094,2024-02-09
10200,David Lee,10123,2024-02-26
10201,David Lee,10085,2024-05-16
10202,Meena Kumar,10113,2024-02-08
10203,Robert Smith,10051,2024-03-30
10204,David Lee,10080,2024-02-26
