customer_id,first_name,last_name,email,phone,date_of_birth,gender,city,state,customer_since,kyc_status,created_at,updated_at
CUST0001,Arun,Kumar,arun.kumar@email.com,9786579303,2004-06-16,Male,Chennai,Tamil Nadu,2016-10-21,Pending,2024-12-10 10:29:41,2025-12-18 10:29:41
CUST0002,Priya,Sharma,priya.sharma@email.com,9249827706,2004-08-28,Male,Mumbai,Maharashtra,2018-07-02,Pending,2025-07-16 10:29:41,2026-02-06 10:29:41
CUST0003,Rahul,Nair,rahul.nair@email.com,9200604502,2002-01-19,Male,Delhi,Delhi,2019-06-16,Rejected,2025-07-21 10:29:41,2025-09-23 10:29:41
CUST0004,Meera,Patel,meera.patel@email.com,9313500298,1994-09-25,Female,Bangalore,Karnataka,2022-08-26,Pending,2024-11-06 10:29:41,2026-02-12 10:29:41
CUST0005,Suresh,Reddy,suresh.reddy@email.com,9914763202,2003-05-18,Female,Hyderabad,Telangana,2021-04-22,Pending,2025-03-11 10:29:41,2025-12-20 10:29:41
CUST0006,Kavitha,Iyer,kavitha.iyer@email.com,9919795579,1999-05-29,Male,Pune,Maharashtra,2024-01-31,Pending,2025-05-10 10:29:41,2025-11-14 10:29:41
CUST0007,Vijay,Pillai,vijay.pillai@email.com,9469319644,1993-06-01,Female,Kolkata,West Bengal,2024-08-20,Rejected,2024-05-04 10:29:41,2025-09-29 10:29:41
CUST0008,Lakshmi,Menon,lakshmi.menon@email.com,9234031070,1998-06-20,Male,Ahmedabad,Gujarat,2018-12-06,Pending,2024-08-12 10:29:41,2025-09-19 10:29:41
CUST0009,Karthik,Das,karthik.das@email.com,9306468299,2005-05-25,Male,Madurai,Tamil Nadu,2017-09-15,Verified,2024-10-25 10:29:41,2026-01-24 10:29:41
CUST0010,Divya,Gupta,divya.gupta@email.com,9349957310,2004-09-09,Female,Coimbatore,Tamil Nadu,2022-01-02,Pending,2024-08-09 10:29:41,2026-01-03 10:29:41
CUST0011,Rajesh,Singh,rajesh.singh@email.com,9497478786,1998-12-27,Male,Chennai,Tamil Nadu,2017-08-09,Pending,2025-06-05 10:29:41,2025-09-11 10:29:41
CUST0012,Sunita,Verma,sunita.verma@email.com,9781802744,2003-02-13,Male,Mumbai,Maharashtra,2023-04-16,Pending,2024-07-25 10:29:41,2025-12-06 10:29:41
CUST0013,Mohan,Rao,mohan.rao@email.com,9787194506,1994-06-19,Male,Delhi,Delhi,2017-06-11,Pending,2025-06-21 10:29:41,2025-12-17 10:29:41
CUST0014,Anitha,Devi,anitha.devi@email.com,9982403818,2006-03-28,Female,Bangalore,Karnataka,2020-08-15,Pending,2025-06-11 10:29:41,2025-12-21 10:29:41
CUST0015,Ganesh,Krishnan,ganesh.krishnan@email.com,9709004943,1999-11-25,Male,Hyderabad,Telangana,2017-10-09,Pending,2024-07-08 10:29:41,2025-09-02 10:29:41
CUST0016,Shalini,Bose,shalini.bose@email.com,9592688426,2003-10-02,Female,Pune,Maharashtra,2023-07-23,Verified,2024-11-21 10:29:41,2025-09-17 10:29:41
CUST0017,Bala,Shah,bala.shah@email.com,9560027313,1993-11-13,Female,Kolkata,West Bengal,2021-01-23,Verified,2025-03-29 10:29:41,2025-10-06 10:29:41
CUST0018,Rekha,Joshi,rekha.joshi@email.com,9629908599,2004-12-01,Male,Ahmedabad,Gujarat,2023-11-22,Verified,2025-03-07 10:29:41,2025-08-23 10:29:41
CUST0019,Senthil,Mishra,senthil.mishra@email.com,9553290810,1993-07-31,Male,Madurai,Tamil Nadu,2020-10-21,Pending,2024-04-25 10:29:41,2025-10-01 10:29:41
CUST0020,Nithya,Chatterjee,nithya.chatterjee@email.com,9369953851,1994-07-19,Male,Coimbatore,Tamil Nadu,2017-06-29,Rejected,2025-04-22 10:29:41,2025-08-23 10:29:41
