customer_id,name,city
C001,Tyler Garcia,Chennai
C002,Rodney Jones,Bangalore
C003,Kimberly Williams,Chennai
C004,Dominique Kennedy,Chennai
C005,Julia Shaw,Bangalore
C006,Lisa Rowland,Chennai
C007,Andrea Douglas,Bangalore
C008,Amber Robinson,Chennai
C009,Morgan Ashley,Chennai
C010,Jacob Marsh,Chennai
C011,Matthew Mclaughlin,Mumbai
C012,Alan Williams,Chennai
C013,Jason Martin,Chennai
C014,Donald Hopkins,Bangalore
C015,Richard Stanley,Chennai
C016,Holly Simpson,Chennai
C017,Joyce Martinez,Bangalore
C018,Emily Jackson,Bangalore
C019,Lynn Marquez,Bangalore
C020,Bethany Simon,Bangalore
