Account_ID,Customer_Name,Account_Type,Balance,Open_Date,Open_Timestamp
ACC001,Karthik,Savings,5000,2026-01-01,2026-01-01 09:10:00
ACC002,Priya,Current,15000,2026-01-02,2026-01-02 10:20:00
ACC003,Arjun,Savings,12000,2026-01-03,2026-01-03 11:15:00
ACC004,Divya,Current,7000,2026-01-04,2026-01-04 12:05:00
ACC005,Ravi,Savings,9000,2026-01-05,2026-01-05 09:50:00
ACC006,Anjali,Current,11000,2026-01-06,2026-01-06 14:30:00
ACC007,Suresh,Savings,8000,2026-01-07,2026-01-07 11:45:00
ACC008,Meena,Current,14000,2026-01-08,2026-01-08 15:20:00
ACC009,Ramesh,Savings,6000,2026-01-09,2026-01-09 09:35:00
ACC010,Sneha,Current,13000,2026-01-10,2026-01-10 14:10:00
ACC011,Kiran,Savings,7500,2026-01-11,2026-01-11 10:25:00
ACC012,Nisha,Current,9500,2026-01-12,2026-01-12 13:50:00
ACC013,Manoj,Savings,10500,2026-01-13,2026-01-13 09:55:00
ACC014,Priya S,Current,12500,2026-01-14,2026-01-14 15:30:00
ACC015,Ajay,Savings,8800,2026-01-15,2026-01-15 11:00:00
ACC016,Divya P,Current,10200,2026-01-16,2026-01-16 14:15:00
ACC017,Vinod,Savings,9400,2026-01-17,2026-01-17 09:35:00
ACC018,Rekha,Current,8700,2026-01-18,2026-01-18 16:10:00
ACC019,Arun,Savings,9100,2026-01-19,2026-01-19 10:00:00
ACC020,Kavya,Current,9800,2026-01-20,2026-01-20 13:15:00
ACC021,Hari,Savings,8300,2026-01-21,2026-01-21 09:20:00
ACC022,Anu,Current,11600,2026-01-22,2026-01-22 14:45:00
ACC023,Deepak,Savings,8900,2026-01-23,2026-01-23 11:00:00
ACC024,Swathi,Current,10700,2026-01-24,2026-01-24 15:10:00
ACC025,Raj,Savings,9200,2026-01-25,2026-01-25 09:35:00
ACC026,Priyanka,Current,10100,2026-01-26,2026-01-26 14:25:00
ACC027,Surya,Savings,8600,2026-01-27,2026-01-27 10:10:00
ACC028,Latha,Current,9700,2026-01-28,2026-01-28 15:30:00
ACC029,Mohan,Savings,8800,2026-01-29,2026-01-29 11:20:00
ACC030,Rani,Current,11200,2026-01-30,2026-01-30 14:40:00
