payroll_id,employee_id,department_id,pay_period_month,pay_period_year,basic_salary,hra,special_allowance,transport_allowance,medical_allowance,gross_salary,pf_deduction,esi_deduction,tds_deduction,other_deductions,net_salary,payment_mode,bank_account_masked,payment_status,salary_processed_at,salary_credited_at,created_at,updated_at
PAY000001,EMP00001,DEPT001,January,2024,59437.09,23774.84,11887.42,2641.54,1402.01,99142.9,7132.45,0,12247.13,1565.4,78197.92,NEFT,XXXX-XXXX-2876,Failed,2026-02-08 12:45:53,2026-02-09 01:45:53,2026-02-07 12:45:53,2026-02-15 12:45:53
PAY000002,EMP00002,DEPT002,February,2025,181320.0,72528.0,36264.0,2348.45,657.24,293117.69,21758.4,0,18724.64,645.71,251988.94,RTGS,XXXX-XXXX-7491,Pending,2025-12-24 12:45:53,2025-12-25 11:45:53,2026-02-11 12:45:53,2026-02-14 12:45:53
PAY000003,EMP00003,DEPT003,March,2025,158705.02,63482.01,31741.0,4466.44,1987.83,260382.3,19044.6,0,48799.51,263.71,192274.48,Direct Deposit,XXXX-XXXX-7235,Reversed,2025-12-24 12:45:53,2025-12-25 08:45:53,2026-02-09 12:45:53,2026-02-15 12:45:53
PAY000004,EMP00004,DEPT004,April,2024,166233.92,66493.57,33246.78,4039.99,1633.88,271648.14,19948.07,0,43541.48,86.66,208071.93,Cheque,XXXX-XXXX-5430,On Hold,2025-12-19 12:45:53,2025-12-20 01:45:53,2026-01-27 12:45:53,2026-02-14 12:45:53
PAY000005,EMP00005,DEPT005,May,2025,175736.99,70294.8,35147.4,1724.42,510.09,283413.7,21088.44,0,16245.14,725.18,245354.94,Wallet Transfer,XXXX-XXXX-3297,Reversed,2026-01-19 12:45:53,2026-01-19 20:45:53,2026-01-08 12:45:53,2026-02-15 12:45:53
PAY000006,EMP00006,DEPT006,June,2025,116125.79,46450.32,23225.16,2133.51,916.49,188851.27,13935.09,0,19757.47,780.75,154377.96,NEFT,XXXX-XXXX-4865,Pending,2026-01-27 12:45:53,2026-01-27 15:45:53,2025-12-25 12:45:53,2026-02-14 12:45:53
PAY000007,EMP00007,DEPT007,July,2025,46901.91,18760.76,9380.38,1369.2,1929.97,78342.22,5628.23,0,5342.53,1808.3,65563.16,RTGS,XXXX-XXXX-4285,Pending,2026-02-04 12:45:53,2026-02-05 07:45:53,2025-12-29 12:45:53,2026-02-11 12:45:53
PAY000008,EMP00008,DEPT008,August,2025,108237.73,43295.09,21647.55,3516.01,1693.26,178389.64,12988.53,0,27748.72,621.27,137031.12,Direct Deposit,XXXX-XXXX-7365,Reversed,2026-02-07 12:45:53,2026-02-08 08:45:53,2026-01-17 12:45:53,2026-02-11 12:45:53
PAY000009,EMP00009,DEPT009,September,2024,228712.01,91484.8,45742.4,4106.44,756.12,370801.77,27445.44,0,70255.19,1117.63,271983.51,Cheque,XXXX-XXXX-2983,Processed,2026-01-13 12:45:53,2026-01-13 22:45:53,2025-12-19 12:45:53,2026-02-13 12:45:53
PAY000010,EMP00010,DEPT010,October,2024,110881.36,44352.54,22176.27,1169.39,1787.32,180366.88,13305.76,0,15342.76,1306.37,150411.99,Wallet Transfer,XXXX-XXXX-7440,On Hold,2026-02-01 12:45:53,2026-02-02 04:45:53,2026-01-21 12:45:53,2026-02-13 12:45:53
PAY000011,EMP00011,DEPT011,November,2025,53002.84,21201.14,10600.57,1958.41,965.35,87728.31,6360.34,0,5143.89,120.27,76103.81,NEFT,XXXX-XXXX-4368,Pending,2026-01-30 12:45:53,2026-01-31 11:45:53,2025-12-19 12:45:53,2026-02-16 12:45:53
PAY000012,EMP00012,DEPT012,December,2024,217062.09,86824.84,43412.42,4726.53,1228.59,353254.47,26047.45,0,18688.02,1806.79,306712.21,RTGS,XXXX-XXXX-4139,Processed,2026-01-17 12:45:53,2026-01-17 21:45:53,2026-01-13 12:45:53,2026-02-15 12:45:53
PAY000013,EMP00013,DEPT013,January,2024,123025.31,49210.12,24605.06,1596.08,1778.91,200215.48,14763.04,0,35703.54,1501.68,148247.22,Direct Deposit,XXXX-XXXX-3218,On Hold,2025-12-27 12:45:53,2025-12-28 02:45:53,2025-12-25 12:45:53,2026-02-11 12:45:53
