AccountID,CustomerID,AccountType,Balance,CreatedDate
ACC001,CUST001,Savings,50000.00,2024-01-16 11:20:10
ACC002,CUST002,Checking,75000.50,2024-02-13 10:05:30
ACC003,CUST003,Savings,62000.75,2024-01-21 15:30:45
ACC004,CUST004,Checking,48000.25,2024-03-06 12:10:15
ACC005,CUST005,Savings,90000.00,2024-02-28 09:40:50
ACC006,CUST006,Checking,55000.50,2024-03-16 16:15:05
ACC007,CUST007,Savings,47000.75,2024-01-31 14:00:00
ACC008,CUST008,Checking,88000.90,2024-02-06 17:20:30
ACC009,CUST009,Savings,60000.30,2024-03-11 10:50:25
ACC010,CUST010,Checking,72000.40,2024-03-13 13:45:10
