CardID,AccountID,CardType,CardNumber,ExpiryDate,CreatedDate
CARD001,ACC001,Debit,1234567812345678,2027-01-31,2024-01-16 11:25:00
CARD002,ACC002,Credit,2345678923456789,2028-02-28,2024-02-13 10:10:15
CARD003,ACC003,Debit,3456789034567890,2027-01-31,2024-01-21 15:35:20
CARD004,ACC004,Credit,4567890145678901,2028-03-31,2024-03-06 12:15:25
CARD005,ACC005,Debit,5678901256789012,2027-02-28,2024-02-28 09:45:35
CARD006,ACC006,Credit,6789012367890123,2028-03-31,2024-03-16 16:20:10
CARD007,ACC007,Debit,7890123478901234,2027-01-31,2024-01-31 14:05:00
CARD008,ACC008,Credit,8901234589012345,2028-02-28,2024-02-06 17:25:15
CARD009,ACC009,Debit,9012345690123456,2027-03-31,2024-03-11 10:55:00
CARD010,ACC010,Credit,0123456701234567,2028-03-31,2024-03-13 13:50:20
